clean_combined_text,label_model
تقرير ترامب يوقع خلال ساعات أمرا بشأن تخفيف عقوبات سوريا ذكر مراسل لشبكة سيبيإس منصة إكس الرئيس الأميركي دونالد ترامب سيوقع وقت لاحق الاثنين أمرا تنفيذيا يتعلق بتخفيف العقوبات سوريا,سياسة
الإمارات تعزي ضحايا انهيار منجم السودان عبرت دولة الإمارات تعازيها الصادقة وتضامنها أسر وذوي الضحايا والشعب السوداني الشقيق حادث انهيار منجم لتعدين الذهب منطقة هويد,اجتماعي
مصادر محادثات مباشرة سوريا وإسرائيل بشأن ترتيبات أمنية تجري إسرائيل وسوريا محادثات مباشرة تركز ترتيبات أمنية محدودة والانسحاب المحتمل للقوات الإسرائيلية الأراضي المحتلة جنوب سوريا وفقا ذكرته مصادر سورية لوكالة الأنباء الألمانية,سياسة
قصف إسرائيلي مباغت يقتل 24 شخصا استراحة شاطئ غزة أكدت وسائل إعلام فلسطينية قيام الجيش الإسرائيلي بهجمات جوية مباغتة أسفرت 24 قتيلا استراحة الباقة شاطئ بحر مدينة غزة,سياسة
حملة ممنهجة بيان محامي شيرين جدل موازين قال محامي الفنانة شيرين عبد الوهاب ياسر قنطوش المطربة المصرية تتعرض وصفها بـحملة ممنهجة لتدمير نجاح تقوم وذلك الانتقادات تعرضت إطار مشاركتها مهرجان موازين إيقاعات العالم المنظم العاصمة المغربية الرباط,ثقافة
فيديو دبي تطلق رحلة تجريبية للتاكسي الجوي أكد الشيخ حمدان بن محمد بن راشد آل مكتوم ولي عهد دبي نائب رئيس مجلس الوزراء وزير الدفاع رئيس المجلس التنفيذي لإمارة دبي رؤية الشيخ محمد بن راشد آل مكتوم نائب رئيس الدولة رئيس مجلس الوزراء حاكم دبي تشكل الأساس لإسهام دبي الملموس تشكيل ملامح مستقبل واعد ومستدام للعديد القطاعات الحيوية عالميا عبر إطلاق وتبني خدمات وحلول نوعية تدعمها شراكات إستراتيجية أهم وأبرز المبتكرين حول العالم,تكنولوجيا
حادث اختفاء طفلة وسط البحر يثير صدمة واسعة تونس تحولت رحلة استجمام لعائلة تونسية بشاطئ قليبية شرقي البلاد مأساة فقدان طفلتهم مريم البالغة العمر سنوات ظروف تزال غامضة يوم السبت الماضي,اجتماعي
ضربة إيران رئيس معهد وايزمان الإسرائيلي يكشف الخسائر كشف رئيس معهد وايزمان للأبحاث إسرائيل ألون حاين حجم الضرر لحق بالمختبرات والمنشآت التابعة للمعهد نتيجة إصابة بصاروخ إيراني,سياسة
النفط يتراجع بفعل تهدئة التوترات وترقب قرار أوبك المقبل تراجعت أسعار النفط خلال تعاملات الاثنين ظل انحسار المخاطر الجيوسياسية بالشرق الأوسط بالتزامن توقعات بزيادة جديدة إنتاج أوبك خلال المقبل واستمرار حالة الضبابية بشأن الطلب العالمي,اقتصاد
نمو الاقتصاد المغربي 48 بالربع الأول بدعم الزراعة والصناعة سجل الاقتصاد المغربي نموا بنسبة 48 بالمئة الربع الأول 2025 مقارنة بـ3 بالمئة الفترة نفسها العام الماضي وفقا أعلنت عنه المندوبية السامية للتخطيط الاثنين,اقتصاد
برلين عقوبات أوروبية جديدة روسيا تقر الأسبوع كشف متحدث باسم الحكومة الألمانية الاثنين الاتحاد الأوروبي يتبنى الحزمة الثامنة العقوبات ضد روسيا خلال الأسبوع الجاري إطار الرد المتواصل الحرب أوكرانيا,سياسة
تفاصيل جديدة قتلت إسرائيل كبار علماء النووي إيران فجر 13 شنت إسرائيل سلسلة هجمات دقيقة استهدفت منازل كبار العلماء الإيرانيين العاملين البرنامج النووي طهران أسفر مقتل 9 منهم الأقل حينها,سياسة
5 أسئلة حساسة موقعة الهلال ومان سيتي تقع المفاجأة يواصل نادي الهلال السعودي مغامرته المميزة كأس العالم للأندية 2025 بمواجهة مرتقبة مانشستر سيتي الإنجليزي فجر الثلاثاء مدينة أورلاندو شرقي الولايات المتحدة,رياضة
